变量,样本数,均值,标准差,最小值,P25,中位数,P75,最大值
emission_guangdong,9.0,562.5115778062384,66.31975060754858,497.9458497400001,506.86261150000007,552.2894168611658,575.1479738750602,669.6167718132929
pv_gw,8.0,5.2,4.460621353258182,0.9,1.925,3.85,7.175,13.8
wind_gw,8.0,3.425,2.2307910192190956,1.2,1.725,2.8,4.45,7.5
nev_10k_units,8.0,31.3625,33.7065461001272,1.2,6.949999999999999,20.0,44.25,98.3
re_total_gw,8.0,9.55,7.093054953363084,2.8,4.324999999999999,7.300000000000001,12.7,23.1
storage_mw,8.0,428.625,526.6617069537414,15.0,58.25,212.5,602.5,1520.0
