变量,样本数,均值,标准差,最小值,P25,中位数,P75,最大值
emission_gba,6.0,334.9886703242318,76.45047993712585,179.55781439549534,357.0362582592691,365.0642826394168,369.12492982962635,375.40691324547896
pv_gw,6.0,3.1,2.138223561744655,0.9,1.575,2.55,4.275,6.5
wind_gw,6.0,2.35,1.0634848376916335,1.2,1.575,2.15,2.95,4.0
nev_10k_units,6.0,15.233333333333334,14.290649623675849,1.2,4.65,11.7,22.35,38.6
re_total_gw,6.0,6.166666666666667,3.296462750686964,2.8,3.775,5.4,7.8500000000000005,11.5
storage_mw,6.0,176.5,195.7291495919808,15.0,40.75,101.0,251.25,520.0
