模型,变量,系数,标准误,下界95%,上界95%,p值
九市-时间序列（2014-2019）,const,21.85192902586047,1.7524356468988898e-11,21.851929025826124,21.85192902589482,0.0
九市-时间序列（2014-2019）,ln_pv_gw,12.426010773307873,9.289752487911334e-12,12.426010773289665,12.42601077332608,0.0
九市-时间序列（2014-2019）,ln_wind_gw,-4.202976809094952,2.986781674950562e-12,-4.202976809100806,-4.202976809089098,0.0
九市-时间序列（2014-2019）,ln_nev_10k_units,-1.1094919069353288,6.150448996083114e-13,-1.1094919069365343,-1.1094919069341234,0.0
九市-时间序列（2014-2019）,ln_storage_mw,-5.279335426953762,6.65737353395961e-12,-5.27933542696681,-5.279335426940714,0.0
九市-时间序列（2014-2019）,trend,0.6153675827316611,2.6340204137449177e-12,0.6153675827264986,0.6153675827368237,0.0
广东-时间序列（2014-2021）,const,7.2170872415989145,0.5160086067192948,6.205728956716404,8.228445526481426,1.8880599506323785e-44
广东-时间序列（2014-2021）,ln_pv_gw,1.1386447817815437,0.4672090552397078,0.22293186026073186,2.0543577033023555,0.014804743627096212
广东-时间序列（2014-2021）,ln_wind_gw,0.3147247087748326,0.26724242920826685,-0.2090608276143654,0.8385102451640306,0.23892622563603616
广东-时间序列（2014-2021）,ln_nev_10k_units,-0.06892924639427811,0.05672889773978684,-0.180115842846916,0.042257350058359774,0.22434164911131937
广东-时间序列（2014-2021）,ln_storage_mw,-0.24185405259860282,0.15491318005821933,-0.5454783062432812,0.06177020104607556,0.11847109396870156
广东-时间序列（2014-2021）,trend,-0.28397878944915433,0.08073261703711483,-0.4422118112195642,-0.12574576767874449,0.00043559557182494687
九市-城市固定效应（2014-2019）,const,2.7407178423213914,1.9630995538494105,-1.1068865812901016,6.588322265932884,0.16267908396591058
九市-城市固定效应（2014-2019）,ln_pv_gw,-0.34227465589429507,1.3891729903355259,-3.0650036852477345,2.3804543734591443,0.8053823954095667
九市-城市固定效应（2014-2019）,ln_wind_gw,-0.7460616356883277,0.2710450790621579,-1.2773002288369688,-0.21482304253968676,0.005913544573183864
九市-城市固定效应（2014-2019）,ln_nev_10k_units,-0.1014339966338369,0.10235938280015441,-0.3020547004018882,0.09918670713421443,0.32170538610140875
九市-城市固定效应（2014-2019）,ln_storage_mw,0.5609156707888552,0.6255478683285361,-0.6651356217408797,1.78696696331859,0.3698902006897197
九市-城市固定效应（2014-2019）,city_中山,-1.8109069920763718,0.08912893886771565,-1.9855965022373667,-1.636217481915377,8.943610144913192e-92
九市-城市固定效应（2014-2019）,city_佛山,-0.4230298626590381,0.13038881595889795,-0.6785872459252995,-0.16747247939277665,0.0011770978428502638
九市-城市固定效应（2014-2019）,city_广州,0.6070803390301085,0.07704756790793876,0.45606988083414446,0.7580907972260725,3.2923943802185514e-15
九市-城市固定效应（2014-2019）,city_惠州,-0.7852965007526034,0.14106718627259804,-1.0617831052472986,-0.5088098962579082,2.594209906968107e-08
九市-城市固定效应（2014-2019）,city_江门,-0.933981360819341,0.11066281973369034,-1.1508765019250224,-0.7170862197136596,3.1765277220758495e-17
九市-城市固定效应（2014-2019）,city_深圳,-0.5471922014321595,0.1617423815982959,-0.8642014441385535,-0.23018295872576555,0.0007167002829515295
九市-城市固定效应（2014-2019）,city_珠海,-1.2465983699395335,0.12087965675009867,-1.483518143633291,-1.0096785962457762,6.172737720321941e-25
九市-城市固定效应（2014-2019）,city_肇庆,-1.1179868494592953,0.12070029639300472,-1.3545550833128943,-0.8814186156056962,1.9969512784979814e-20
九市-城市固定效应（2014-2019）,trend,-0.0010798418086163525,0.0036432043064100286,-0.008220391037501235,0.006060707420268531,0.7669254527643996
